country,pi,u_icer,ll_icer,ul_icer
Mozambique,0.005,12711.269426365076,9731.05009762141,15691.488755108741
Mozambique,0.006,10592.724521970897,8109.2084146845045,13076.240629257289
Mozambique,0.007,9079.47816168934,6950.750069729577,11208.206253649103
Mozambique,0.008,7944.543391478172,6081.90631101338,9807.180471942964
Mozambique,0.009000000000000001,7061.816347980598,5406.138943123004,8717.493752838192
Mozambique,0.01,6355.634713182538,4865.525048810705,7845.744377554371
Mozambique,0.011,5777.849739256854,4423.204589827916,7132.494888685793
Mozambique,0.012,5296.362260985448,4054.6042073422523,6538.120314628644
Mozambique,0.013000000000000001,4888.949779371183,3742.7115760082334,6035.187982734132
Mozambique,0.014000000000000002,4539.73908084467,3475.375034864789,5604.103126824551
Mozambique,0.015,4237.089808788359,3243.6833658738024,5230.496251702915
Mozambique,0.016,3972.271695739086,3040.95315550669,4903.590235971482
Mozambique,0.017,3738.6086548132575,2862.0735581239433,4615.143751502572
Mozambique,0.018000000000000002,3530.908173990299,2703.069471561502,4358.746876419096
Mozambique,0.019,3345.07090167502,2560.802657268792,4129.339146081249
Mozambique,0.02,3177.817356591269,2432.7625244053525,3922.8721887771853
Mozambique,0.021,3026.4927205631134,2316.91668990986,3736.0687512163668
Mozambique,0.022000000000000002,2888.924869628426,2211.602294913957,3566.2474443428955
Mozambique,0.023000000000000003,2763.3194405141467,2115.445673395958,3411.1932076323355
Mozambique,0.024,2648.181130492724,2027.3021036711261,3269.060157314322
Mozambique,0.025,2542.2538852730154,1946.210019524282,3138.297751021749
Mozambique,0.026000000000000002,2444.4748896855913,1871.3557880041167,3017.593991367066
Mozambique,0.027,2353.938782660199,1802.0463143743345,2905.831250946064
Mozambique,0.028,2269.869540422335,1737.6875174323943,2802.0515634122758
Mozambique,0.029,2191.598176959496,1677.7672582105874,2705.4290957084045
Mozambique,0.030000000000000002,2118.5449043941794,1621.8416829369012,2615.2481258514576
Mozambique,0.031000000000000003,2050.2047461879156,1569.5242092937756,2530.8852830820556
Mozambique,0.032,1986.135847869543,1520.476577753345,2451.795117985741
Mozambique,0.033,1925.9499130856175,1474.4015299426376,2377.4982962285976
Mozambique,0.034,1869.3043274066288,1431.0367790619716,2307.571875751286
Mozambique,0.034999999999999996,1815.8956323378684,1390.1500139459158,2241.641250729821
Mozambique,0.036,1765.4540869951497,1351.5347357807511,2179.373438209548
Mozambique,0.037,1717.7391116709564,1315.0067699488393,2120.4714533930737
Mozambique,0.038,1672.53545083751,1280.401328634396,2064.6695730406245
Mozambique,0.039,1629.6499264570612,1247.570525336078,2011.7293275780444
Mozambique,0.04,1588.9086782956344,1216.3812622026762,1961.4360943885927
Mozambique,0.041,1550.154808093302,1186.713426539196,1913.5961896474082
Mozambique,0.041999999999999996,1513.246360281557,1158.45834495493,1868.0343756081838
Mozambique,0.043,1478.0545844610556,1131.5174532117921,1824.591715710319
Mozambique,0.044,1444.4624348142136,1105.801147456979,1783.1237221714482
Mozambique,0.045,1412.3632695961196,1081.2277886246006,1743.4987505676386
Mozambique,0.046,1381.6597202570736,1057.7228366979791,1705.596603816168
Mozambique,0.047,1352.262704932455,1035.2180954916391,1669.307314373271
Mozambique,0.048,1324.090565246362,1013.6510518355631,1634.530078657161
Mozambique,0.048999999999999995,1297.068308812763,992.9642956756538,1601.1723219498722
Mozambique,0.049999999999999996,1271.1269426365077,973.1050097621409,1569.1488755108744
Mozambique,0.051,1246.2028849377527,954.0245193746479,1538.3812505008577
Mozambique,0.052,1222.2374448427959,935.6778940020586,1508.7969956835332
Mozambique,0.053,1199.1763609778375,918.0235941152271,1480.3291278404479
Mozambique,0.054,1176.9693913300996,901.0231571871673,1452.915625473032
Mozambique,0.055,1155.5699478513707,884.6409179655825,1426.4989777371588
Mozambique,0.056,1134.9347702111675,868.8437587161972,1401.0257817061379
Mozambique,0.057,1115.0236338916734,853.600885756264,1376.4463820270828
Mozambique,0.057999999999999996,1095.7990884797482,838.8836291052938,1352.7145478542025
Mozambique,0.059,1077.2262225733116,824.6652625102887,1329.7871826363344
